Tipo de actividad,Fecha,Favorito,Título,Distancia,Calorías,Tiempo,Frecuencia cardiaca media,FC máxima,TE aeróbico,Cadencia de carrera media,Cadencia de carrera máxima,Ritmo medio,Ritmo óptimo,Ascenso total,Descenso total,Longitud media de zancada,Relación vertical media,Oscilación vertical media,Tiempo medio de contacto con el suelo,GAP medio,Normalized Power® (NP®),Training Stress Score®,Potencia media,Potencia máxima,Pasos,Temperatura mínima,Descompresión,Mejor tiempo de vuelta,Número de vueltas,Temperatura máxima,Tiempo en movimiento,Tiempo transcurrido,Altura mínima,Altura máxima
Carrera,2025-09-19 07:36:32,false,"Jesús María Carrera","4.24","310","00:22:38","140","159","3.2","174","231","5:21","2:53","19","16","1.06","8.1","8.5","246","5:18","314","0.0","310","534","3,958","20.0","No","00:01:03.6","5","27.0","00:22:34","00:24:50","108","123"
Carrera,2025-09-16 07:28:07,false,"Jesús María Carrera","5.02","406","00:28:26","153","169","3.5","175","190","5:40","4:33","21","16","1.01","8.3","8.4","251","5:34","300","0.0","300","385","4,958","23.0","No","00:00:05.4","6","25.0","00:28:21","00:29:22","107","117"
Entrenamiento en cinta,2025-08-29 08:00:08,false,"Entrenamiento en cinta","7.97","423","00:30:05","147","173","3.6","178","242","3:47","2:34","--","--","1.48","6.7","9.9","214","--","423","0.0","420","547","5,186","22.0","No","00:03:23.9","8","27.0","00:30:03","00:30:06","--","--"
Carrera,2025-08-24 06:06:27,false,"Lima Carrera","10.02","676","00:45:12","153","173","4.3","185","209","4:31","2:42","26","41","1.20","7.1","8.4","223","4:31","374","0.0","371","602","8,334","18.0","No","00:00:03.8","11","23.0","00:45:07","00:45:33","127","165"
Carrera,2025-08-20 07:16:22,false,"Jesús María Carrera","5.25","381","00:26:43","144","164","3.3","177","222","5:06","3:02","30","23","1.09","7.8","8.5","238","5:03","332","0.0","326","497","4,740","19.0","No","00:01:13.5","6","22.0","00:26:37","00:27:56","107","121"
Carrera,2025-08-17 08:45:08,false,"Lima Carrera","0.50","37","00:02:37.3","151","159","1.0","178","190","5:14","4:42","3","--","1.07","7.6","8.2","235","5:04","330","0.0","320","360","476","24.0","No","00:02:37.3","1","26.0","00:02:35","00:02:39.3","126","131"
Carrera,2025-08-17 07:55:14,false,"Lima Carrera","10.04","718","00:44:25","166","181","5.0","185","202","4:26","3:42","36","36","1.21","7.0","8.4","220","4:26","377","0.0","376","495","8,206","20.0","No","00:00:14.6","11","24.0","00:44:18","00:48:04","106","139"
Carrera,2025-08-15 07:37:17,false,"Jesús María Carrera","10.02","774","00:50:39","154","182","4.9","179","224","5:03","2:52","47","44","1.10","7.8","8.5","238","5:00","335","0.0","333","515","9,082","20.0","No","00:00:03.6","11","23.0","00:50:30","00:52:23","106","120"
Carrera,2025-08-12 07:37:32,false,"Jesús María Carrera","5.01","375","00:25:56","144","175","3.5","180","212","5:10","3:29","26","25","1.07","7.8","8.3","238","5:06","331","0.0","327","498","4,712","21.0","No","00:00:04.2","6","23.0","00:25:51","00:27:17","110","121"
Carrera,2025-08-01 07:40:20,false,"Jesús María Carrera","10.02","740","00:50:20","148","165","4.4","183","231","5:01","3:14","42","41","1.07","7.6","8.1","235","5:01","329","0.0","328","511","9,252","20.0","No","00:00:03.2","11","25.0","00:50:12","00:53:57","111","121"
